,x,y,EL_1b,EL_1d,EL_1f,EL_1h,EL_2b,EL_2d,EL_2f,EL_2h
37,0.2,0.5,31.231896781921385,12.353175830841064,12.447192287445068,11.117758560180663,10.371236991882325,11.375340938568113,10.35154037475586,23.192082023620607
38,0.2,0.6,14.446560430526734,10.639294052124024,11.19697856903076,10.154454708099365,3.86061429977417,10.444249248504638,9.546043109893798,11.708719253540039
39,0.2,0.7,5.09211790561676,11.976235008239746,14.534832668304443,3.2208220958709717,8.692435693740844,6.1709085464477536,7.394433689117431,17.154784202575684
40,0.3,0.2,24.54040641784668,13.067724514007567,16.960383319854735,10.31688985824585,6.32841420173645,11.810260009765626,7.284150218963623,13.33844051361084
41,0.4,0.2,29.8490966796875,13.159969902038574,15.575064754486085,9.83097801208496,7.724133682250977,12.432325077056884,8.383824777603149,12.714091300964355
42,0.5,0.2,30.833126640319826,12.248084354400635,13.633150672912597,9.718717479705811,9.192686891555786,12.49112787246704,9.018422698974609,8.365039962530135
43,0.6,0.2,17.529276943206785,10.605339527130125,10.00803165435791,9.279619026184081,2.7206812262535096,12.278603839874267,9.696452522277832,5.5009267091751095
44,0.7,0.2,9.951034975051881,12.016488552093504,10.7341543674469,3.8885976552963255,13.555192756652833,14.997729682922362,11.0210693359375,8.031525993347168
45,0.3,0.3,33.364085578918456,13.133283901214599,14.238974189758302,11.076448440551758,9.70922918319702,12.081401824951172,8.948107814788818,17.752663803100585
46,0.3,0.4,35.54912490844726,12.790784072875976,11.913886737823486,11.139571285247804,11.43195447921753,12.046245765686036,10.423982906341553,23.05510215759277
47,0.3,0.5,22.672650718688963,11.105371189117433,9.370560264587402,10.463919734954835,5.954595470428466,11.47512273788452,10.493461227416992,18.786905097961426
48,0.3,0.6,5.799633646011352,10.708491945266724,11.414235687255859,3.351780080795288,6.112390613555908,9.17763319015503,9.1604642868042,10.145062953233719
49,0.4,0.3,35.47211742401123,12.727261161804199,11.532178592681884,10.707748222351073,11.297571945190429,12.303338336944579,10.029783821105957,15.266430068016051
50,0.5,0.3,24.337136268615723,10.905471897125244,7.9357507705688475,10.01245927810669,5.759086799621582,11.883883953094482,10.495913982391357,9.274314785003662
51,0.6,0.3,6.346156787872315,10.929058742523193,7.6388363361358635,3.294636583328247,8.092684459686279,13.088294124603271,10.957865810394287,6.932845401763916
52,0.4,0.4,26.450392723083493,11.214857482910157,8.030142641067505,10.505824470520018,6.610281276702881,11.91148853302002,10.869889831542968,16.11996464729309
53,0.4,0.5,5.833321475982666,10.116549682617187,8.408381032943725,3.5413105964660647,5.658094596862793,11.027662754058838,10.487741374969483,8.642008829116822
54,0.5,0.4,5.753874921798706,10.33143949508667,7.1104172706604,3.534918975830078,5.755424976348877,12.047340297698975,10.808753490447998,6.999766445159912
