Alloys,Hardness (HV),Phase,Fabrication_type,DOI,Paper
(CuMnNi)80Zn20,109,FCC,,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Cu26.6Mn26.6Ni26.6Zn20,109,FCC,CAST,Beniwal: Train,
CuMnNiZn0.25,109,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-224,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.25CoCrFeNi,111.5,FCC,CAST,Beniwal: Train,
Al0.1CoCrFeNi,117,,CAST,https://doi.org/10.1016/j.jmst.2021.01.185,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.3CoCrFeNi,117,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-202,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al5.66Co18.87Cr18.87Fe18.87Mn18.87Ni18.87,125,,CAST,Beniwal: Test,
CoFeNi,125,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-353,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.4CoCrFeNi,128,,CAST,https://doi.org/10.1016/j.jmst.2021.01.186,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al8Co25Cu18Fe25Ni25,129,,POWDER,Beniwal: Test,
CoCr0.2FeNiSi0.2,130.1,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-150,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrCuFe,134,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-49,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.25CoFeNi,138,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-357,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Co0.139Cr0.446Cu0.99NiSi0.277,142.5,,WROUGHT,https://www.nature.com/articles/s41597-020-00768-63,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
(CuMnNi)75Zn25,147,FCC,,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Cu25Mn25Ni25Zn25,147,FCC,CAST,Beniwal: Train,
CuMnNiZn0.333,147,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-225,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoFeNiSi0.25,149,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-352,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMnNiV0.25,151,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-301,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Cr20Co19.3Fe19.6Mn17Ni19.52V4.6,151,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
CoCrFeNi,156,,CAST,Beniwal: Test,
Al0.5CoCrCuFeNi,160,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-195,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMn0.8NiPd,160,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-145,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMnNi,160,FCC,CAST,Beniwal: Train,
Al0.2CrCuFeNi2,161,,CAST,https://doi.org/10.1016/j.jmst.2021.01.190,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.3CoCrFeMo0.1Ni,162,,CAST,https://doi.org/10.1016/j.jmst.2021.01.191,Machine learning of phases and mechanical properties in complexconcentrated alloys
FeCoNiCuMo0.2,162,,CAST,Beniwal: Test,
Al0.375CoCrFeNi,163.5,FCC,CAST,Beniwal: Train,
(CuMnNi)95Al5,166,FCC,,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.053CuMnNi,166,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-221,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Cu31.6Mn31.6Ni31.6Al5,166,FCC,CAST,Beniwal: Train,
AlCo3.0CuFeNi,166.4,,CAST,https://doi.org/10.1016/j.jmst.2021.01.192,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.3CrCuFeNi2,168,,CAST,https://doi.org/10.1016/j.jmst.2021.01.193,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.04(CoCrFeMnNi),171,,CAST,https://doi.org/10.1016/j.jmst.2021.01.194,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.20CoCrFeMnNi,171,FCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.2CoCrFeMnNi,171,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-313,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrCu0.5FeNi,172,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-291,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrFeNiTi0.5,178,BCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-323,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.02(CoCrFeMnNi),180,,CAST,https://doi.org/10.1016/j.jmst.2021.01.196,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.10CoCrFeMnNi,180,FCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.3CoCrCuFe,180,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-61,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.3CoCrCuFeNi,180,FCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
CoCrFeMn0.6NiPd,180,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-146,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiTa0.1,180,,CAST,https://doi.org/10.1016/j.jmst.2021.01.198,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.07(CoCrFeMnNi),182,,CAST,https://doi.org/10.1016/j.jmst.2021.01.199,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.38CoCrFeMnNi,182,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-312,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al10Co17Fe35Mo6Ni34,182,,CAST,Beniwal: Test,
Al0.08(CoCrFeMnNi),183,,CAST,https://doi.org/10.1016/j.jmst.2021.01.200,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.43CoCrFeMnNi,183,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-311,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMnNiV0.5,186,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-300,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CrFeNi,187,,CAST,Beniwal: Test,
CoCuFeMnNiSn0.03,192,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-262,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al11Co18Cr22Fe22Mn5Ni22,198,,CAST,Beniwal: Test,
Al0.3CoCrFeNiTi0.1,199,,CAST,https://doi.org/10.1016/j.jmst.2021.01.201,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.4CrCuFeNi2,199,,CAST,https://doi.org/10.1016/j.jmst.2021.01.202,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.3CoCrFeMo0.Ni,200,FCC,,https://www.nature.com/articles/s41597-020-00768-6,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMnNiTa0.2,200,FCC+BCC,,https://www.nature.com/articles/s41597-020-00768-2,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrFeNi,200.7,,CAST,https://doi.org/10.1016/j.jmst.2021.01.203,Machine learning of phases and mechanical properties in complexconcentrated alloys
FeCoNiCuMo0.4,203,,CAST,Beniwal: Test,
Al0.5CoCrCuFeNiV0.2,204,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-277,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
(CuMnNi)95Sn5,205,FCC + Im,,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
CoCuFeMnNiSn0.05,205,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-261,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Cu31.6Mn31.6Ni31.6Sn5,205,FCC + Im,CAST,Beniwal: Train,
CuMnNiSn0.053,205,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-220,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.242Co0.515Cr0.515Cu0.242Fe0.515Ni,206,,ANNEAL,https://www.nature.com/articles/s41597-020-00768-369,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFe,207,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-60,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Cr16.67Co25.81Ni25.81Fe24.58C5.92,207,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
Al0.5CoCrCuNi,208,,CAST,https://doi.org/10.1016/j.jmst.2021.01.205,Machine learning of phases and mechanical properties in complexconcentrated alloys
CoCuFeMnNi,208,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-263,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMo0.149Ni,210,FCC+Sec.,POWDER,https://www.nature.com/articles/s41597-020-00768-70,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMo0.5Ni,210,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-346,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
HfTiZr,211,Other,CAST,https://www.nature.com/articles/s41597-020-00768-135,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoFeNi,212,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-356,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiHf0.1,213,,CAST,Beniwal: Test,
CrFeNiAl0.2,215,,CAST,Beniwal: Test,
CoCuFeMnNiSn0.08,219,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-260,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.09(CoCrFeMnNi),220,,CAST,https://doi.org/10.1016/j.jmst.2021.01.206,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.49CoCrFeMnNi,220,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-310,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.6CrCuFeMnNi,220,,CAST,Beniwal: Test,
CoCrFeMo0.3Ni,220,,CAST,https://doi.org/10.1016/j.jmst.2021.01.207,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCoCr0.5Fe3.5Ni2.5,224,,CAST,Beniwal: Test,
Al0.5CrCuFeNi,226,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-118,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.6CoCrFeNi,228,FCC+BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-201,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.229Co0.486Cr0.4Cu0.229Fe0.486Mo0.003NiTi0.029W0.003,231,,CAST,https://www.nature.com/articles/s41597-020-00768-209,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiV0.4,231,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-276,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
HfScTiZr,233,Other,CAST,https://www.nature.com/articles/s41597-020-00768-134,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrCuFeNi,234.6,FCC,CAST,Beniwal: Train,
CoFeNiV,238,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-226,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CrCuFeNi2,239,,CAST,https://doi.org/10.1016/j.jmst.2021.01.208,Machine learning of phases and mechanical properties in complexconcentrated alloys
(CuMnNi)90Al10,241,FCC + Im,,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.11CuMnNi,241,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-223,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Cu30Mn30Ni30Al10,241,FCC + Im,CAST,Beniwal: Train,
HfTiYZr,241,Other,CAST,https://www.nature.com/articles/s41597-020-00768-133,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiW0.2,244,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-177,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
NbTaTi,246,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-125,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCr0.5Fe2.5Ni2.5,247,,CAST,Beniwal: Test,
AlCo2.0CuFeNi,249.3,,CAST,https://doi.org/10.1016/j.jmst.2021.01.209,Machine learning of phases and mechanical properties in complexconcentrated alloys
CoCuFeMnNiSn0.,253,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-259,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCuFeMnNiSn0.10,253,FCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
HfScTiYZr,256,Other,CAST,https://www.nature.com/articles/s41597-020-00768-132,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CrCuFeMoNi,263,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-339,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoFeMo0.2NiV,267,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-236,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.8CoCrCuFeNi,270,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-335,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
HfNbTaTi,270,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-105,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.8CoCrCuFe,271,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-59,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiTi0.2,272,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-286,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlAuCoCrCuNi,276,,CAST,https://doi.org/10.1016/j.jmst.2021.01.211,Machine learning of phases and mechanical properties in complexconcentrated alloys
Co0.564Nb0.795Ta0.103TiW0.103,277,,CAST,https://www.nature.com/articles/s41597-020-00768-161,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiTa0.2,277,,CAST,https://doi.org/10.1016/j.jmst.2021.01.212,Machine learning of phases and mechanical properties in complexconcentrated alloys
FeCoNiCuMo0.6,277,,CAST,Beniwal: Test,
Al0.10(CoCrFeMnNi),278,,CAST,https://doi.org/10.1016/j.jmst.2021.01.213,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.56CoCrFeMnNi,278,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-309,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.6CrCuFeNi2,279,,CAST,https://doi.org/10.1016/j.jmst.2021.01.214,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.333Co0.333Cu0.333Fe0.333Ni,279.6,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-155,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al8Co17Cr17Cu8Fe17Ni33,280,,CAST,https://doi.org/10.1016/j.jmst.2021.01.215,Machine learning of phases and mechanical properties in complexconcentrated alloys
B0.006Co0.20Cr0.20FeMn0.604,282,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-138,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoFeNiSi0.50,286,,CAST,https://doi.org/10.1016/j.jmst.2021.01.216,Machine learning of phases and mechanical properties in complexconcentrated alloys
CoFeNiSi0.5,287,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-351,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMnNiTa0.4,290,FCC+BCC,,https://www.nature.com/articles/s41597-020-00768-3,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.7CrCuFeNi2,291,,CAST,https://doi.org/10.1016/j.jmst.2021.01.217,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCoCr0.5Fe1.5Ni2.5,294,,CAST,Beniwal: Test,
NbTa0.667Ti0.667Zr0.333,294,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-123,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiPd,295,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-149,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Co0.2Cr0.2FeMn0.6,296,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-139,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CrCuFeMnNi,296,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-340,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.2Cr0.667FeMn0.667Ni0.333,297,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-297,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.3CrFe1.5MnNi0.5,297,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
NbTaTiV,298,,CAST,https://doi.org/10.1016/j.jmst.2021.01.218,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.5Co0.5Cu0.5Fe0.5Ni,299.2,FCC+BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-156,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Hf0.333Nb0.333Ta0.333TiZr0.667,301,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-239,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Hf0.5Nb0.5Ta0.5Ti1.5Zr,301,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.2CrFe1.5Ni0.5,303.8,,CAST,https://doi.org/10.1016/j.jmst.2021.01.220,Machine learning of phases and mechanical properties in complexconcentrated alloys
Nb0.5Ti0.5VZr0.5,304,BCC,OTHER,https://www.nature.com/articles/s41597-020-00768-94,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
NbTiV2Zr,304,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.562Co0.938Cr0.312Fe0.312Ni,305.4,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-131,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
B0.012Co0.202Cr0.202FeMn0.607,306,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-137,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNb0.25Ni,309,,CAST,https://doi.org/10.1016/j.jmst.2021.01.221,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.774FeMn0.903Ni0.484,310,,CAST,https://www.nature.com/articles/s41597-020-00768-121,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Hf0.25Nb0.5TiV0.5Zr0.5,310.4,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-168,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.8CrCuFeNi2,316,,CAST,https://doi.org/10.1016/j.jmst.2021.01.222,Machine learning of phases and mechanical properties in complexconcentrated alloys
(CuMnNi)90Sn10,318,FCC + Im,,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Cu30Mn30Ni30Sn10,318,FCC + Im,CAST,Beniwal: Train,
CuMnNiSn0.11,318,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-222,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Hf0.25Nb0.375TiV0.5Zr0.5,318.9,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-169,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCuFeMnNiSn0.2,319,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-258,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCuFeMnNiSn0.20,319,FCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.5CoCrCuFeNiTi0.4,321,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-285,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Hf0.25Nb0.25TiV0.5Zr0.5,322.5,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-170,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.667Co0.667Cu0.667Fe0.667Ni,323.8,FCC+BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-157,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.3CrCuFeMnNi,327,,CAST,https://doi.org/10.1016/j.jmst.2021.01.223,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.5CoCrCuFeNiV0.6,328,FCC+BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-275,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.774FeMn0.903Ni0.484Ti0.026,330,,CAST,https://www.nature.com/articles/s41597-020-00768-120,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Hf0.25Nb0.125TiV0.5Zr0.5,332.4,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-171,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiHf0.2,333,,CAST,Beniwal: Test,
Al0.75CoCrFeNi,334,FCC + BCC,CAST,Beniwal: Train,
Hf21Nb19.1Ta20.1Ti19.3V23Zr20.5,335,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
Nb25Ti25V25Zr25,335,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
NbTiVZr,335,BCC,OTHER,https://www.nature.com/articles/s41597-020-00768-93,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.7CoCrFeNi,337,,CAST,https://doi.org/10.1016/j.jmst.2021.01.224,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.9CrCuFeNi2,338,,CAST,https://doi.org/10.1016/j.jmst.2021.01.225,Machine learning of phases and mechanical properties in complexconcentrated alloys
Hf0.25TiV0.5Zr0.5,338.3,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-172,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrCuFeNi,342,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-341,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMnNiV0.75,342,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-299,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.278Co0.694Cr0.222Fe0.417NiTi0.167,343,,CAST,https://www.nature.com/articles/s41597-020-00768-208,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCr0.5Fe0.5Ni2.5,343,,CAST,Beniwal: Test,
AlCr0.5CuFeNiTi,343.7,,CAST,https://doi.org/10.1016/j.jmst.2021.01.226,Machine learning of phases and mechanical properties in complexconcentrated alloys
CoCrFeMnNiTa0.6,345,FCC+BCC,,https://www.nature.com/articles/s41597-020-00768-4,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
FeCoNiCuMo0.8,347,,CAST,Beniwal: Test,
AlCoCuNi,348,,CAST,https://doi.org/10.1016/j.jmst.2021.01.227,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCrCuFeNiTi,348.8,,CAST,https://doi.org/10.1016/j.jmst.2021.01.228,Machine learning of phases and mechanical properties in complexconcentrated alloys
HfNbTiZr,351,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-179,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.3HfNbTaTiZr,353,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-254,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CrFeMnNi,353,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-154,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Hf0.75NbTa0.5Ti1.5Zr1.25,356.9,,CAST,https://doi.org/10.1016/j.jmst.2021.01.229,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.58Co0.968Cr0.323Fe0.323Mo0.032Ni,357.3,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-130,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiW0.5,357.9,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-176,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
NbTaTiZr,358,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-126,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
HfNbTaTiZr,359,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-127,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCr1.5CuFeNiTi,359.3,,CAST,https://doi.org/10.1016/j.jmst.2021.01.230,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.6CoCr0.333Fe0.333Mo0.Ni0.967,359.7,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-128,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.6CrFeMnNi,361,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-153,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CrFeNiTi0.2,362.2,BCC+FCC,CAST,https://www.nature.com/articles/s41597-020-00768-144,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.6CoCr0.333Fe0.333Mo0.067Ni,362.6,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-129,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiTa0.3,365,,CAST,https://doi.org/10.1016/j.jmst.2021.01.231,Machine learning of phases and mechanical properties in complexconcentrated alloys
HfNbTaZr,365,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-213,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo1.5CuFeNi,366.4,,CAST,https://doi.org/10.1016/j.jmst.2021.01.232,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.714Cr0.714Cu0.714Fe0.714Ni,367,FCC+BCC,ANNEAL,https://www.nature.com/articles/s41597-020-00768-373,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCr0.5CuFeNi,367,,CAST,https://doi.org/10.1016/j.jmst.2021.01.233,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCrCuFeNi1.4,367,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCr2CuFeNiTi,368.3,,CAST,https://doi.org/10.1016/j.jmst.2021.01.234,Machine learning of phases and mechanical properties in complexconcentrated alloys
