Alloys,Hardness (HV),Phase,Fabrication_type,DOI,Paper
AlCo0.667Cr0.667Fe0.667Mo0.333Ni0.667,655,B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-348,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.312Co0.625Cr0.625Cu0.625Fe0.625Ni0.625Ti,657,FCC+BCC+B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-280,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiTi1.6,657,FCC + BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al2.8CoCrCuFe,657,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCo0.357Cr0.357Cu0.357Fe0.357,657,BCC,,https://www.nature.com/articles/s41597-020-00768-52,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.357Co0.714Cr0.714Cu0.714Fe0.714Ni0.714Ti,664,FCC+BCC+B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-281,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiTi1.4,664,FCC + BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlFeNiTi,666,BCC+B2,POWDER,https://www.nature.com/articles/s41597-020-00768-83,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.278Co0.556Cr0.556Cu0.556Fe0.556Ni0.556Ti,667,FCC+BCC+B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-279,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiTi1.8,667,FCC + BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCoCrFeNb0.25Ni,668,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-337,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Mo0.5VNbTiCr2,668,,CAST,Beniwal: Test,
AlCoNiTi,672,BCC+B2,POWDER,https://www.nature.com/articles/s41597-020-00768-84,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Cr0.5MoNbTaVW,675.5,,CAST,https://doi.org/10.1016/j.jmst.2021.01.334,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCrCuFeMnW0.05,680,BCC+Sec.,POWDER,https://www.nature.com/articles/s41597-020-00768-73,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
