,x,y,HV_1a,HV_1c,HV_1e,HV_1g,HV_2a,HV_2c,HV_2e,HV_2g
38,0.2,0.6,556.8401916503906,411.0248260498047,424.72553710937495,352.29212951660156,389.23359985351567,534.8115051269531,524.6854797363281,652.8504272460938
39,0.2,0.7,611.2552307128906,397.19111328124995,419.0139862060547,305.2831115722656,394.24501342773436,535.5872985839844,532.4019042968749,614.941796875
40,0.3,0.2,482.4287567138672,437.4315521240234,450.5235931396484,368.9503448486328,429.7928985595703,464.67450256347655,464.03559570312495,553.2498229980469
41,0.4,0.2,492.389859008789,436.57753906249997,459.1405914306641,361.77990112304684,466.8191741943359,471.1354248046875,472.35723266601565,587.3518676757812
42,0.5,0.2,503.6018859863281,436.8001739501953,463.72609558105466,353.7553802490234,497.89309082031247,473.11269531249997,479.0837982177734,609.6688110351562
43,0.6,0.2,522.8025787353515,436.6551666259765,458.8350555419922,335.5389007568359,490.0901336669922,472.7423095703125,483.7347076416015,624.3393280029296
44,0.7,0.2,586.2160278320313,434.1586547851563,450.9400939941406,306.01964111328124,449.5898071289062,470.216259765625,491.74195556640626,599.9255828857422
45,0.3,0.3,500.7594909667969,435.57495117187494,449.8072967529297,377.70342102050785,412.6559631347656,479.64032592773435,479.5803131103516,612.6977844238281
46,0.3,0.4,515.96171875,430.8752899169922,443.7480834960937,376.0723114013672,414.23743896484376,492.61737060546875,494.06988525390625,648.7310791015625
47,0.3,0.5,564.2221801757812,423.7334350585938,436.6381042480469,356.5071319580078,424.080728149414,507.8394378662109,501.49711303710933,670.0226318359374
48,0.3,0.6,632.3624755859374,416.2140197753906,429.0813262939453,315.03000793457034,429.05874023437497,522.5921173095703,514.3802551269531,636.626904296875
49,0.4,0.3,518.4653594970703,435.91034240722655,454.8931121826172,368.25433044433595,438.33342895507815,480.70507812500006,487.4277252197266,642.9187133789062
50,0.5,0.3,550.2903076171875,432.4656951904297,453.84198303222655,351.3713287353516,452.7708404541015,482.406021118164,493.4420471191406,665.1221313476562
51,0.6,0.3,626.7733459472656,436.75665588378905,445.9394226074219,318.44181518554683,444.8524719238281,481.73097839355466,496.4830413818359,649.2957458496094
52,0.4,0.4,562.8005401611329,429.26283569335936,446.59825439453124,356.75104064941405,438.2146484375,491.5841125488281,499.45311584472654,674.569854736328
53,0.4,0.5,640.5128662109375,425.44703979492186,437.2288421630859,321.7051940917969,441.248779296875,500.068798828125,501.5657135009765,648.6596069335938
54,0.5,0.4,636.8977722167969,433.2618835449219,442.67414855957037,323.5403045654297,447.50634765625,488.76174316406247,498.62310180664065,654.595654296875
